axis,index,coord,rho,u,v,p
horizontal,122,6.04144,1.84,0,0,0
horizontal,123,6.09116,1.84,0,0,0
horizontal,124,6.14088,1.84,0,0,0
horizontal,125,6.19061,1.84,0,0,0
horizontal,126,6.24033,1.84,0,0,0
horizontal,127,6.29006,1.84,0,0,0
horizontal,128,6.33978,1.84,0,0,0
horizontal,129,6.3895,1.84,0,0,0
horizontal,130,6.43923,1.84,0,0,0
horizontal,131,6.48895,1.84,0,0,0
horizontal,132,6.53867,1.84,0,0,0
horizontal,133,6.5884,1.84,0,0,0
horizontal,134,6.63812,1.84,0,0,0
horizontal,135,6.68785,1.84,0,0,0
horizontal,136,6.73757,1.84,0,0,0
horizontal,137,6.78729,1.84,0,0,0
horizontal,138,6.83702,1.84,0,0,0
horizontal,139,6.88674,1.84,0,0,0
horizontal,140,6.93646,1.84,0,0,0
horizontal,141,6.98619,1.84,0,0,0
horizontal,142,7.03591,1.84,0,0,0
horizontal,143,7.08564,1.84,0,0,0
horizontal,144,7.13536,1.84,0,0,0
horizontal,145,7.18508,1.84,0,0,0
horizontal,146,7.23481,1.84,0,0,0
horizontal,147,7.28453,1.84,0,0,0
horizontal,148,7.33425,1.84,0,0,0
horizontal,149,7.38398,1.84,0,0,0
horizontal,150,7.4337,1.84,0,0,0
horizontal,151,7.48343,1.84,0,0,0
horizontal,152,7.53315,1.84,0,0,0
horizontal,153,7.58287,1.84,0,0,0
horizontal,154,7.6326,1.84,0,0,0
horizontal,155,7.68232,1.84,0,0,0
horizontal,156,7.73204,1.84,0,0,0
horizontal,157,7.78177,1.84,0,0,0
horizontal,158,7.83149,1.84,0,0,0
horizontal,159,7.88122,1.84,0,0,0
horizontal,160,7.93094,1.84,0,0,0
horizontal,161,7.98066,1.84,0,0,0
horizontal,162,8.03039,1.84,0,0,0
horizontal,163,8.08011,1.84,0,0,0
horizontal,164,8.12983,1.84,0,0,0
horizontal,165,8.17956,1.84,0,0,0
horizontal,166,8.22928,1.84,0,0,0
horizontal,167,8.27901,1.84,0,0,0
horizontal,168,8.32873,1.84,0,0,0
horizontal,169,8.37845,1.84,0,0,0
horizontal,170,8.42818,1.84,0,0,0
horizontal,171,8.4779,1.84,0,0,0
horizontal,172,8.52762,1.84,0,0,0
horizontal,173,8.57735,1.84,0,0,0
horizontal,174,8.62707,1.84,0,0,0
horizontal,175,8.6768,1.84,0,0,0
horizontal,176,8.72652,1.84,0,0,0
horizontal,177,8.77624,1.84,0,0,0
horizontal,178,8.82597,1.84,0,0,0
horizontal,179,8.87569,1.84,0,0,0
horizontal,180,8.92541,1.84,0,0,0
horizontal,181,8.97514,1.84,0,0,0
